监测点,监测点全称,经度,纬度
东四,东城东四,116.417,39.929
天坛,东城天坛,116.407,39.886
官园,西城官园,116.339,39.929
万寿西宫,西城万寿西宫,116.352,39.878
奥体中心,朝阳奥体中心,116.397,39.982
农展馆,朝阳农展馆,116.461,39.937
万柳,海淀万柳,116.287,39.987
北部新区,海淀北部新区,116.174,40.09
植物园,海淀北京植物园,116.207,40.002
丰台花园,丰台花园,116.279,39.863
云岗,丰台云岗,116.146,39.824
古城,石景山古城,116.184,39.914
房山,房山良乡,116.136,39.742
大兴,大兴黄村镇,116.404,39.718
亦庄,亦庄开发区,116.506,39.795
通州,通州新城,116.663,39.886
顺义,顺义新城,116.655,40.127
昌平,昌平镇,116.23,40.217
门头沟,门头沟龙泉镇,116.106,39.937
平谷,平谷镇,117.1,40.143
怀柔,怀柔镇,116.628,40.328
密云,密云镇,116.832,40.37
延庆,延庆镇,115.972,40.453
定陵,昌平定陵,116.22,40.292
八达岭,京西北八达岭，京西北区域点,115.988,40.365
密云水库,京东北密云水库，京东北区域点,116.911,40.499
东高村,京东东高村，京东区域点,117.12,40.1
永乐店,京东南永乐店，京东南区域点,116.783,39.712
榆垡,京南榆垡，京南区域点,116.3,39.52
琉璃河,京西南琉璃河，京西南区域点,116,39.58
前门,前门东大街，前门交通点,116.395,39.899
永定门内,永定门内大街，永定门交通点,116.394,39.876
西直门北,西直门北大街，西直门交通点,116.349,39.954
南三环,南三环西路，南三环交通点,116.368,39.856
东四环,东四环北路，东四环交通点,116.483,39.939
       ,    ,     ,    
